Input,Output
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
What can I wear for a beach day?,"You can wear light, flowy clothes."
What can I wear for a winter evening?,You can wear a warm coat with boots.
What can I wear for a summer party?,You can wear a breezy sundress or shorts.
What can I wear for a business meeting?,You can wear a tailored suit.
What can I wear for a casual date?,You can wear a smart-casual outfit.
What can I wear for a wedding?,You can wear a formal dress or suit.
What can I wear for a gym session?,You can wear moisture-wicking activewear.
What can I wear for a music festival?,"You can wear a trendy, bold outfit."
What can I wear for a night out?,You can wear a stylish dress or blazer.
What can I wear for a formal dinner?,You can wear a sophisticated gown or tuxedo.
